id_nota,id_matricula,tipo_avaliacao,valor_nota
232,3604,P2,6.4
233,8947,P1,7.1
234,8947,P2,4.1
235,6175,P1,7.6
236,6175,P2,7.2
237,1885,P1,3.0
238,1885,P2,6.4
239,6148,P1,3.5
240,6148,P2,9.5
241,8491,P1,8.8
242,8491,P2,8.9
243,2691,P1,7.9
244,2691,P2,9.3
245,6817,P1,7.7
246,6817,P2,7.2
247,1938,P1,3.6
248,1938,P2,8.0
249,3048,P1,6.2
250,3048,P2,6.2
251,8637,P1,4.4
252,8637,P2,5.0
253,3367,P1,9.2
254,3367,P2,9.8
255,7083,P1,4.0
256,7083,P2,8.0
257,8241,P1,6.2
258,8241,P2,9.4
259,2923,P1,7.4
260,2923,P2,4.4
261,9111,P1,8.3
262,9111,P2,9.4
263,1334,P1,4.5
264,1334,P2,7.7
265,4390,P1,5.6
266,4390,P2,7.5
267,6905,P1,3.3
268,6905,P2,5.8
269,9686,P1,3.4
270,9686,P2,8.4
271,8008,P1,7.6
272,8008,P2,8.2
273,8304,P1,7.4
274,8304,P2,5.7
275,3840,P1,3.6
276,3840,P2,8.3
277,1135,P1,9.1
278,1135,P2,5.1
279,1236,P1,7.8
280,1236,P2,4.0
281,8384,P1,3.9
282,8384,P2,4.6
283,3010,P1,8.3
284,3010,P2,4.6
285,5840,P1,5.7
286,5840,P2,5.3
287,6383,P1,7.7
288,6383,P2,7.0
289,8361,P1,3.3
290,8361,P2,9.4
291,7503,P1,3.9
292,7503,P2,7.6
293,6311,P1,6.0
294,6311,P2,6.3
295,3145,P1,9.0
296,3145,P2,9.6
297,9362,P1,8.2
298,9362,P2,5.3
299,7788,P1,4.7
300,7788,P2,4.0
301,2906,P1,4.1
302,2906,P2,7.4
303,249,P1,6.9
304,249,P2,5.9
305,4918,P1,7.4
306,4918,P2,4.7
307,7094,P1,4.0
308,7094,P2,4.6
309,135,P1,4.3
310,135,P2,4.8
311,1174,P1,7.8
312,1174,P2,8.1
313,5568,P1,5.5
314,5568,P2,8.2
315,7230,P1,5.0
316,7230,P2,8.1
317,8465,P1,9.4
318,8465,P2,8.7
319,7727,P1,7.3
320,7727,P2,9.8
321,1647,P1,5.5
322,1647,P2,7.5
323,5660,P1,4.0
324,5660,P2,7.9
325,5766,P1,7.2
326,5766,P2,5.3
327,4902,P1,9.2
328,4902,P2,9.9
329,9224,P1,8.9
330,9224,P2,6.7
331,7231,P1,5.3
332,7231,P2,9.1
333,3072,P1,5.7
334,3072,P2,4.8
335,7241,P1,5.2
336,7241,P2,7.4
337,4362,P1,6.0
338,4362,P2,5.7
339,9548,P1,8.0
340,9548,P2,9.8
341,1951,P1,6.5
342,1951,P2,5.9
343,6059,P1,6.9
344,6059,P2,5.0
345,1565,P1,6.8
346,1565,P2,9.8
347,7734,P1,8.2
348,7734,P2,6.3
349,9064,P1,7.9
350,9064,P2,8.4
351,6032,P1,5.0
352,6032,P2,8.1
353,2154,P1,6.9
354,2154,P2,4.6
355,5419,P1,5.1
356,5419,P2,4.8
357,9402,P1,6.0
358,9402,P2,8.5
359,1712,P1,3.6
360,1712,P2,7.6
361,9681,P1,6.1
362,9681,P2,5.6
363,4527,P1,9.4
364,4527,P2,7.8
365,6859,P1,4.0
366,6859,P2,9.9
367,4805,P1,5.4
368,4805,P2,5.2
369,4907,P1,6.2
370,4907,P2,5.6
371,257,P1,3.3
372,257,P2,9.4
373,434,P1,4.7
374,434,P2,7.5
375,3109,P1,5.5
376,3109,P2,8.5
377,9727,P1,7.1
378,9727,P2,9.1
379,2237,P1,9.0
380,2237,P2,7.3
381,9557,P1,3.1
382,9557,P2,5.3
383,2413,P1,8.2
384,2413,P2,7.8
385,4582,P1,7.7
386,4582,P2,9.4
387,3737,P1,9.4
388,3737,P2,5.0
389,6484,P1,4.7
390,6484,P2,6.8
391,7108,P1,4.3
392,7108,P2,4.9
393,4996,P1,4.6
394,4996,P2,7.7
395,545,P1,9.2
396,545,P2,8.6
397,6425,P1,8.2
398,6425,P2,8.7
399,9050,P1,5.7
400,9050,P2,6.4
401,2406,P1,7.8
402,2406,P2,7.9
403,9858,P1,7.7
404,9858,P2,7.0
405,9182,P1,7.8
406,9182,P2,6.2
407,10,P1,4.2
408,10,P2,7.6
409,7466,P1,3.3
410,7466,P2,4.4
411,3954,P1,8.7
412,3954,P2,6.2
413,661,P1,7.7
414,661,P2,8.5
415,2831,P1,3.0
416,2831,P2,7.1
417,1483,P1,6.9
418,1483,P2,4.5
419,9507,P1,6.6
420,9507,P2,7.8
421,6200,P1,3.0
422,6200,P2,4.8
423,1590,P1,8.7
424,1590,P2,6.7
425,820,P1,4.2
426,820,P2,4.5
427,2171,P1,5.8
428,2171,P2,9.2
429,4815,P1,4.1
430,4815,P2,4.5
431,7911,P1,8.8
432,7911,P2,6.1
433,3102,P1,8.9
434,3102,P2,7.5
435,2491,P1,4.6
436,2491,P2,7.5
437,3978,P1,8.4
438,3978,P2,4.2
439,9211,P1,6.3
440,9211,P2,9.9
441,6382,P1,9.5
442,6382,P2,5.4
443,3572,P1,6.4
444,3572,P2,7.9
445,1799,P1,9.5
446,1799,P2,10.0
447,5028,P1,7.1
448,5028,P2,8.6
449,9827,P1,5.9
450,9827,P2,6.7
451,6976,P1,5.7
452,6976,P2,5.2
453,7493,P1,7.9
454,7493,P2,8.2
455,630,P1,6.8
456,630,P2,6.2
457,5093,P1,4.0
458,5093,P2,4.3
459,8293,P1,4.7
460,8293,P2,9.0
461,5880,P1,8.2
462,5880,P2,9.8
463,4641,P1,7.8
464,4641,P2,4.8
465,647,P1,8.6
466,647,P2,9.5
467,5148,P1,9.1
468,5148,P2,5.2
469,5699,P1,5.9
470,5699,P2,6.9
471,5265,P1,5.2
472,5265,P2,7.6
473,5448,P1,8.9
474,5448,P2,5.1
475,5078,P1,9.4
476,5078,P2,9.7
477,15,P1,4.1
478,15,P2,4.9
479,3971,P1,3.6
480,3971,P2,5.5
481,807,P1,8.9
482,807,P2,8.7
483,2830,P1,8.5
484,2830,P2,9.7
485,1945,P1,3.8
486,1945,P2,8.8
487,8755,P1,5.2
488,8755,P2,8.4
489,5693,P1,7.5
490,5693,P2,4.0
491,4453,P1,9.0
492,4453,P2,6.0
493,1619,P1,4.2
494,1619,P2,8.4
495,2186,P1,6.6
496,2186,P2,4.5
497,7340,P1,3.0
498,7340,P2,6.5
499,7038,P1,5.5
500,7038,P2,6.7
501,7805,P1,6.9
502,7805,P2,8.4
503,7851,P1,7.1
504,7851,P2,8.0
505,153,P1,9.2
506,153,P2,9.8
507,7490,P1,7.4
508,7490,P2,5.6
509,4494,P1,4.9
510,4494,P2,8.3
511,2295,P1,3.8
512,2295,P2,9.5
513,1965,P1,9.2
514,1965,P2,4.2
515,3735,P1,4.0
516,3735,P2,7.0
517,588,P1,9.3
518,588,P2,8.8
519,8396,P1,4.5
520,8396,P2,6.3
521,2042,P1,5.6
522,2042,P2,9.5
523,5799,P1,7.0
524,5799,P2,5.8
525,7031,P1,9.3
526,7031,P2,7.3
527,2610,P1,6.8
528,2610,P2,5.9
529,8429,P1,7.6
530,8429,P2,4.3
531,7461,P1,5.2
532,7461,P2,6.2
533,3364,P1,5.1
534,3364,P2,7.1
535,5555,P1,5.2
536,5555,P2,6.0
537,4206,P1,5.1
538,4206,P2,4.1
539,9038,P1,3.0
540,9038,P2,9.6
541,2192,P1,6.3
542,2192,P2,7.0
543,2675,P1,8.8
544,2675,P2,7.6
545,4632,P1,6.8
546,4632,P2,4.8
547,5097,P1,9.2
548,5097,P2,6.5
549,109,P1,6.0
550,109,P2,8.9
551,9001,P1,6.7
552,9001,P2,9.9
553,9120,P1,8.7
554,9120,P2,8.0
555,483,P1,3.7
556,483,P2,7.8
557,6233,P1,3.9
558,6233,P2,9.7
559,6289,P1,3.6
560,6289,P2,5.4
561,3291,P1,5.1
562,3291,P2,4.2
563,2747,P1,8.0
564,2747,P2,6.7
565,2334,P1,8.2
566,2334,P2,7.9
567,2744,P1,9.0
568,2744,P2,8.9
569,6532,P1,8.2
570,6532,P2,5.9
571,1897,P1,6.6
572,1897,P2,7.6
573,1524,P1,7.0
574,1524,P2,6.1
575,3499,P1,5.2
576,3499,P2,5.6
577,7496,P1,9.4
578,7496,P2,6.5
579,1436,P1,8.0
580,1436,P2,8.7
581,813,P1,7.3
582,813,P2,9.8
583,4060,P1,7.6
584,4060,P2,5.9
585,1758,P1,5.2
586,1758,P2,6.5
587,2669,P1,6.4
588,2669,P2,7.1
589,270,P1,6.2
590,270,P2,7.5
591,6024,P1,7.1
592,6024,P2,9.9
593,3798,P1,7.9
594,3798,P2,5.8
595,9191,P1,8.2
596,9191,P2,8.1
597,377,P1,4.4
598,377,P2,10.0
599,2358,P1,5.9
600,2358,P2,8.4
601,1979,P1,3.6
602,1979,P2,5.6
603,9761,P1,8.4
604,9761,P2,6.6
605,3935,P1,5.7
606,3935,P2,9.1
607,7568,P1,8.7
608,7568,P2,7.9
609,5290,P1,8.5
610,5290,P2,5.6
611,5838,P1,7.2
612,5838,P2,5.3
613,3775,P1,8.2
614,3775,P2,9.7
615,5874,P1,3.0
616,5874,P2,4.8
617,205,P1,4.5
618,205,P2,4.4
619,6534,P1,8.7
620,6534,P2,4.4
621,8921,P1,7.4
622,8921,P2,8.1
623,8179,P1,8.6
624,8179,P2,8.0
625,9956,P1,6.0
626,9956,P2,4.7
627,7537,P1,5.2
628,7537,P2,9.1
629,9969,P1,7.3
630,9969,P2,8.4
631,9889,P1,4.9
632,9889,P2,7.3
633,1933,P1,3.5
634,1933,P2,4.9
635,8804,P1,6.6
636,8804,P2,9.9
637,4510,P1,8.6
638,4510,P2,9.7
639,9066,P1,5.6
640,9066,P2,10.0
641,5376,P1,7.8
642,5376,P2,9.3
643,8914,P1,4.5
644,8914,P2,7.3
645,3249,P1,4.5
646,3249,P2,5.3
647,4230,P1,8.9
648,4230,P2,9.9
649,8888,P1,5.7
650,8888,P2,5.1
651,814,P1,4.2
652,814,P2,7.9
653,5609,P1,6.5
654,5609,P2,6.1
655,3066,P1,6.4
656,3066,P2,10.0
657,4981,P1,9.1
658,4981,P2,6.3
659,7908,P1,5.2
660,7908,P2,8.1
661,931,P1,3.1
662,931,P2,6.8
663,3381,P1,4.6
664,3381,P2,9.9
665,9428,P1,6.9
666,9428,P2,4.4
667,7649,P1,3.4
668,7649,P2,8.9
669,8706,P1,7.0
670,8706,P2,4.3
671,8218,P1,4.8
672,8218,P2,8.2
673,5062,P1,3.3
674,5062,P2,6.7
675,7776,P1,3.5
676,7776,P2,6.0
677,9953,P1,6.1
678,9953,P2,9.4
679,2908,P1,6.9
680,2908,P2,4.1
681,3635,P1,3.8
682,3635,P2,8.8
683,7327,P1,5.0
684,7327,P2,9.4
685,2730,P1,3.8
686,2730,P2,8.9
687,9904,P1,4.1
688,9904,P2,5.7
689,3137,P1,7.3
690,3137,P2,7.5
691,3183,P1,8.8
692,3183,P2,7.7
693,6056,P1,9.0
694,6056,P2,5.6
695,8689,P1,5.2
696,8689,P2,8.2
697,4160,P1,3.3
698,4160,P2,8.5
699,8264,P1,8.0
700,8264,P2,4.1
701,7725,P1,6.0
702,7725,P2,9.4
703,9359,P1,7.9
704,9359,P2,4.3
705,246,P1,6.9
706,246,P2,6.7
707,7609,P1,7.2
708,7609,P2,7.0
709,2152,P1,6.5
710,2152,P2,6.3
711,9520,P1,4.2
712,9520,P2,8.8
713,3156,P1,4.2
714,3156,P2,9.0
715,8342,P1,5.2
716,8342,P2,6.8
717,4049,P1,9.4
718,4049,P2,4.9
719,7930,P1,5.8
720,7930,P2,5.8
721,4974,P1,3.6
722,4974,P2,6.9
723,2942,P1,3.4
724,2942,P2,8.3
725,4316,P1,4.4
726,4316,P2,8.2
727,2338,P1,5.5
728,2338,P2,6.5
729,3217,P1,9.0
730,3217,P2,6.0
731,1004,P1,4.1
732,1004,P2,4.6
733,272,P1,3.8
734,272,P2,8.7
735,8754,P1,6.6
736,8754,P2,4.5
737,3899,P1,9.3
738,3899,P2,7.0
739,7995,P1,5.8
740,7995,P2,8.2
741,3486,P1,3.7
742,3486,P2,8.0
743,7268,P1,4.1
744,7268,P2,6.1
745,5377,P1,7.6
746,5377,P2,5.2
747,8121,P1,4.6
748,8121,P2,8.5
749,9808,P1,6.8
750,9808,P2,8.6
751,4927,P1,6.3
752,4927,P2,9.3
753,8608,P1,5.8
754,8608,P2,8.5
755,3778,P1,4.0
756,3778,P2,6.7
757,698,P1,7.8
758,698,P2,7.4
759,5269,P1,9.3
760,5269,P2,5.2
761,5817,P1,7.5
762,5817,P2,8.7
763,3558,P1,6.8
764,3558,P2,7.7
765,6462,P1,4.2
766,6462,P2,5.5
767,6520,P1,5.7
768,6520,P2,6.6
769,9389,P1,6.8
770,9389,P2,6.2
771,2226,P1,8.4
772,2226,P2,4.2
773,7427,P1,3.8
774,7427,P2,9.6
775,9319,P1,3.5
776,9319,P2,8.9
777,3862,P1,3.2
778,3862,P2,8.1
779,1165,P1,7.5
780,1165,P2,8.3
781,3075,P1,6.7
782,3075,P2,8.2
783,9804,P1,5.8
784,9804,P2,4.1
785,9365,P1,8.9
786,9365,P2,5.9
787,481,P1,6.2
788,481,P2,6.5
789,3265,P1,5.4
790,3265,P2,5.1
791,5029,P1,3.2
792,5029,P2,7.5
793,2979,P1,3.5
794,2979,P2,6.3
795,2927,P1,9.2
796,2927,P2,4.4
797,439,P1,4.4
798,439,P2,5.2
799,1055,P1,3.6
800,1055,P2,7.9
801,5108,P1,9.2
802,5108,P2,6.6
803,3398,P1,8.1
804,3398,P2,7.5
805,7614,P1,7.9
806,7614,P2,4.0
807,6076,P1,3.2
808,6076,P2,9.6
809,1371,P1,8.0
810,1371,P2,7.1
811,706,P1,9.4
812,706,P2,9.0
813,5782,P1,5.2
814,5782,P2,8.0
815,4823,P1,6.5
816,4823,P2,5.3
817,6679,P1,5.9
818,6679,P2,8.3
819,1149,P1,5.7
820,1149,P2,8.5
821,2840,P1,6.0
822,2840,P2,9.4
823,9720,P1,6.2
824,9720,P2,9.7
825,1019,P1,3.9
826,1019,P2,8.1
827,6455,P1,6.7
828,6455,P2,9.8
829,2557,P1,7.5
830,2557,P2,5.2
831,7738,P1,4.3
832,7738,P2,9.5
833,2734,P1,6.2
834,2734,P2,6.6
835,364,P1,5.4
836,364,P2,8.1
837,8260,P1,4.0
838,8260,P2,9.1
839,1201,P1,3.4
840,1201,P2,5.9
841,4148,P1,4.2
842,4148,P2,5.6
843,7986,P1,8.6
844,7986,P2,4.4
845,7943,P1,8.2
846,7943,P2,7.6
847,4577,P1,4.1
848,4577,P2,7.6
849,6782,P1,4.9
850,6782,P2,8.6
851,685,P1,5.7
852,685,P2,4.7
853,1458,P1,5.9
854,1458,P2,4.6
855,5723,P1,6.9
856,5723,P2,6.5
857,9782,P1,6.5
858,9782,P2,9.0
859,5906,P1,3.6
860,5906,P2,6.1
861,7499,P1,7.0
862,7499,P2,8.9
863,5517,P1,5.0
864,5517,P2,7.3
865,6701,P1,3.4
866,6701,P2,8.3
867,5988,P1,5.8
868,5988,P2,8.0
869,9617,P1,9.5
870,9617,P2,9.7
871,4420,P1,3.4
872,4420,P2,7.1
873,3288,P1,7.1
874,3288,P2,6.1
875,3088,P1,5.0
876,3088,P2,9.7
877,2283,P1,8.4
878,2283,P2,8.1
879,2997,P1,4.1
880,2997,P2,7.6
881,6279,P1,6.9
882,6279,P2,7.8
883,7149,P1,8.9
884,7149,P2,5.2
885,3998,P1,7.5
886,3998,P2,9.2
887,8481,P1,8.7
888,8481,P2,7.0
889,3092,P1,3.8
890,3092,P2,6.4
891,3450,P1,7.8
892,3450,P2,6.4
893,1245,P1,4.5
894,1245,P2,6.9
895,4777,P1,4.8
896,4777,P2,5.3
897,8737,P1,4.7
898,8737,P2,6.5
899,4745,P1,3.6
900,4745,P2,5.1
901,4373,P1,7.9
902,4373,P2,7.6
903,4778,P1,3.3
904,4778,P2,4.2
905,6895,P1,3.0
906,6895,P2,9.4
907,700,P1,9.2
908,700,P2,5.0
909,7349,P1,3.7
910,7349,P2,6.8
911,9613,P1,3.7
912,9613,P2,5.1
913,3239,P1,3.8
914,3239,P2,7.2
915,7032,P1,3.4
916,7032,P2,4.8
917,8514,P1,9.1
918,8514,P2,9.2
919,710,P1,5.3
920,710,P2,6.4
921,5024,P1,6.2
922,5024,P2,7.1
923,5126,P1,5.3
924,5126,P2,10.0
925,1162,P1,7.4
926,1162,P2,4.9
927,1996,P1,7.2
928,1996,P2,6.8
929,3932,P1,7.5
930,3932,P2,7.7
931,6084,P1,8.3
932,6084,P2,8.3
933,4537,P1,4.3
934,4537,P2,8.8
935,4051,P1,5.9
936,4051,P2,4.1
937,4296,P1,3.4
938,4296,P2,5.9
939,4768,P1,9.1
940,4768,P2,8.3
941,9179,P1,7.0
942,9179,P2,6.1
943,4450,P1,7.9
944,4450,P2,4.4
945,1152,P1,5.0
946,1152,P2,5.2
947,9981,P1,4.2
948,9981,P2,4.7
949,7713,P1,6.1
950,7713,P2,9.7
951,1308,P1,9.3
952,1308,P2,9.4
953,2418,P1,7.7
954,2418,P2,5.4
955,7092,P1,8.5
956,7092,P2,6.5
957,9926,P1,7.3
958,9926,P2,4.1
959,5046,P1,8.9
960,5046,P2,10.0
961,7953,P1,7.2
962,7953,P2,9.4
963,4383,P1,8.4
964,4383,P2,9.4
965,767,P1,3.7
966,767,P2,4.1
967,94,P1,8.1
968,94,P2,8.6
969,6271,P1,6.3
970,6271,P2,9.6
971,8392,P1,7.9
972,8392,P2,9.7
973,8307,P1,5.5
974,8307,P2,7.3
975,3101,P1,9.4
976,3101,P2,8.0
977,9450,P1,5.1
978,9450,P2,6.6
979,654,P1,3.7
980,654,P2,6.5
981,1445,P1,4.0
982,1445,P2,9.8
983,4932,P1,8.2
984,4932,P2,5.9
985,2951,P1,9.4
986,2951,P2,4.2
987,6685,P1,9.2
988,6685,P2,9.6
989,1665,P1,7.9
990,1665,P2,7.7
991,6809,P1,8.0
992,6809,P2,5.5
993,5774,P1,3.8
994,5774,P2,7.5
995,372,P1,4.9
996,372,P2,5.3
997,2662,P1,4.8
998,2662,P2,7.5
999,8099,P1,6.7
1000,8099,P2,4.2
1001,8543,P1,9.4
1002,8543,P2,6.8
1003,6204,P1,7.1
1004,6204,P2,7.9
1005,9844,P1,9.2
1006,9844,P2,7.6
1007,4323,P1,8.6
1008,4323,P2,9.0
1009,1861,P1,4.6
1010,1861,P2,7.5
1011,7897,P1,8.7
1012,7897,P2,7.4
1013,6246,P1,4.7
1014,6246,P2,7.8
1015,624,P1,7.6
1016,624,P2,5.2
1017,1487,P1,5.7
1018,1487,P2,7.7
1019,9894,P1,3.9
1020,9894,P2,6.9
1021,412,P1,4.8
1022,412,P2,4.2
1023,1819,P1,3.4
1024,1819,P2,8.1
1025,7602,P1,7.9
1026,7602,P2,9.1
1027,1072,P1,3.1
1028,1072,P2,4.7
1029,3854,P1,8.5
1030,3854,P2,6.5
1031,2668,P1,3.6
1032,2668,P2,5.4
1033,1868,P1,7.4
1034,1868,P2,9.0
1035,2501,P1,7.9
1036,2501,P2,6.4
1037,7361,P1,5.4
1038,7361,P2,4.7
1039,4488,P1,8.8
1040,4488,P2,4.4
1041,6640,P1,7.6
1042,6640,P2,8.3
1043,6277,P1,5.4
1044,6277,P2,8.5
1045,5691,P1,3.2
1046,5691,P2,5.8
1047,1170,P1,3.7
1048,1170,P2,4.5
1049,5212,P1,4.1
1050,5212,P2,7.8
1051,7184,P1,6.0
1052,7184,P2,9.2
1053,8722,P1,6.4
1054,8722,P2,5.3
1055,2963,P1,4.9
1056,2963,P2,6.8
1057,6596,P1,5.0
1058,6596,P2,8.6
1059,3892,P1,7.2
1060,3892,P2,8.3
1061,9903,P1,9.2
1062,9903,P2,7.5
1063,3876,P1,7.3
1064,3876,P2,8.4
1065,3900,P1,5.7
1066,3900,P2,5.9
1067,3289,P1,6.2
1068,3289,P2,9.9
1069,4486,P1,6.8
1070,4486,P2,4.5
1071,9513,P1,4.5
1072,9513,P2,7.2
1073,5027,P1,6.3
1074,5027,P2,8.9
1075,4698,P1,3.2
1076,4698,P2,6.1
1077,2263,P1,9.2
1078,2263,P2,8.9
1079,6488,P1,7.8
1080,6488,P2,8.6
1081,8094,P1,5.6
1082,8094,P2,7.2
1083,692,P1,9.0
1084,692,P2,6.3
1085,1151,P1,7.2
1086,1151,P2,4.7
1087,5231,P1,8.9
1088,5231,P2,5.1
1089,5915,P1,4.7
1090,5915,P2,6.8
1091,679,P1,5.7
1092,679,P2,8.7
1093,9833,P1,3.7
1094,9833,P2,4.5
1095,5479,P1,8.0
1096,5479,P2,5.9
1097,2498,P1,4.0
1098,2498,P2,9.2
1099,4364,P1,4.9
1100,4364,P2,8.8
1101,8979,P1,5.0
1102,8979,P2,9.6
1103,8883,P1,8.4
1104,8883,P2,5.9
1105,1249,P1,9.2
1106,1249,P2,4.1
1107,4916,P1,3.3
1108,4916,P2,7.5
1109,4370,P1,6.7
1110,4370,P2,9.4
1111,4877,P1,5.2
1112,4877,P2,5.9
1113,7688,P1,6.0
1114,7688,P2,5.7
1115,2990,P1,6.6
1116,2990,P2,8.0
1117,3181,P1,5.4
1118,3181,P2,5.6
1119,3152,P1,3.4
1120,3152,P2,9.4
1121,8809,P1,9.5
1122,8809,P2,5.2
1123,6258,P1,3.6
1124,6258,P2,5.6
1125,6234,P1,3.1
1126,6234,P2,6.2
1127,1650,P1,7.5
1128,1650,P2,7.9
1129,8832,P1,7.6
1130,8832,P2,5.7
1131,7668,P1,7.2
1132,7668,P2,6.3
1133,8546,P1,7.9
1134,8546,P2,6.5
1135,6619,P1,6.1
1136,6619,P2,9.1
1137,3675,P1,7.2
1138,3675,P2,5.6
1139,1927,P1,6.9
1140,1927,P2,6.6
1141,3131,P1,4.7
1142,3131,P2,6.5
1143,3232,P1,6.4
1144,3232,P2,6.3
1145,497,P1,8.3
1146,497,P2,7.8
1147,7371,P1,7.5
1148,7371,P2,6.1
1149,772,P1,6.6
1150,772,P2,5.8
1151,2034,P1,6.7
1152,2034,P2,5.7
1153,1478,P1,7.1
1154,1478,P2,5.2
1155,6944,P1,6.8
1156,6944,P2,5.0
1157,4001,P1,7.3
1158,4001,P2,5.0
